product_id,product_name,category,subcategory,brand,price,cost_price,discount_range,rating_average,rating_count,stock_quantity,product_launch_date,product_type,return_rate_baseline
PROD10000,Sen Basic Staple,Grocery,Staples,Sen,220.0,173.88,0-15%,4.4,32,1422,2025-12-12,Premium,0.0118
PROD10001,Gupta-Chandra Essential Men's Bottomwear,Fashion,Men's Bottomwear,Gupta-Chandra,4060.0,2375.5,10-25%,5.0,13,1595,2023-09-01,Budget,0.1678
PROD10002,"Murty, Advanced Women's Casual",Footwear,Women's Casual,"Murty,",2800.0,1740.98,25-40%,4.2,139,732,2024-12-24,Premium,0.2193
PROD10003,Madan-Kanda Signature Bedding,Home & Kitchen,Bedding,Madan-Kanda,5680.0,4330.67,15-30%,4.1,31,1181,2024-03-28,Premium,0.0689
PROD10004,"Sami, Premium Home Decor",Home & Kitchen,Home Decor,"Sami,",370.0,250.98,25-40%,4.5,279,2597,2024-02-03,Standard,0.0664
PROD10005,Bhatt Essential Skincare,Beauty,Skincare,Bhatt,250.0,152.61,5-20%,4.1,65,2225,2025-03-13,Budget,0.0484
PROD10006,Sen Compact Cycling,Sports,Cycling,Sen,4790.0,3446.2,15-30%,4.0,113,1637,2025-08-10,Premium,0.0613
PROD10007,Gara-Chad Ultra Women's Ethnic Wear,Fashion,Women's Ethnic Wear,Gara-Chad,450.0,268.83,20-35%,3.7,260,466,2023-01-03,Budget,0.1731
PROD10008,Sabharwal-Kothari Signature Snack,Grocery,Snacks,Sabharwal-Kothari,90.0,78.75,0-15%,3.7,7,1276,2023-03-08,Budget,0.0106
PROD10009,Kapoor Pro Men's Bottomwear,Fashion,Men's Bottomwear,Kapoor,570.0,352.4,20-35%,3.2,8,2160,2024-03-12,Standard,0.1405
PROD10010,"Virk, Deluxe Home Decor",Home & Kitchen,Home Decor,"Virk,",870.0,621.59,25-40%,3.9,128,45,2024-09-27,Premium,0.0805
PROD10011,Bhatt Smart Women's Casual,Footwear,Women's Casual,Bhatt,1170.0,704.39,15-30%,3.9,82,1402,2023-10-14,Budget,0.1683
PROD10012,"Nair, Ultra Kitchen Appliance",Appliances,Kitchen Appliances,"Nair,",27550.0,21525.28,20-35%,3.9,18,2421,2024-06-03,Premium,0.1114
PROD10013,Andra Smart Backpack,Bags,Backpacks,Andra,1060.0,712.79,0-15%,4.2,14,1917,2024-10-10,Standard,0.0962
PROD10014,Handa Premium Packaged Food,Grocery,Packaged Food,Handa,50.0,43.43,25-40%,3.5,71,446,2023-02-22,Budget,0.0105
PROD10015,"Nagy, Classic Storage",Furniture,Storage,"Nagy,",15690.0,12255.72,15-30%,3.5,116,80,2023-09-06,Budget,0.0734
PROD10016,"Loke, Compact Fans & Cooler",Appliances,Fans & Coolers,"Loke,",1540.0,1275.17,0-15%,3.8,113,909,2025-09-27,Standard,0.0843
PROD10017,"Chaudhry, Signature Academic",Books,Academic,"Chaudhry,",200.0,162.75,25-40%,3.1,274,1180,2023-06-14,Standard,0.0153
PROD10018,Rai Premium Non-Fiction,Books,Non-Fiction,Rai,210.0,160.07,25-40%,4.3,222,1390,2024-10-06,Premium,0.0293
